ID,time,MRGSIM,NONMEM,diff
1,0,0,0,0
1,0,0,0,0
1,1,3754.4,3754.4,0
1,2,4391.2,4391.2,0
1,3,4343.2,4343.2,0
1,4,4152.5,4152.5,0
1,5,3939.5,3939.5,0
1,6,3730.8,3730.8,0
1,7,3531.6,3531.6,0
1,8,3342.7,3342.7,0
1,9,3163.9,3163.9,0
1,10,2994.5,2994.5,0
1,11,2834.3,2834.3,0
1,12,2682.6,2682.6,0
1,13,2539.1,2539.1,0
1,14,2403.2,2403.2,0
1,15,2274.6,2274.6,0
1,16,2152.9,2152.9,0
1,17,2037.6,2037.6,0
1,18,1928.6,1928.6,0
1,19,1825.4,1825.4,0
1,20,1727.7,1727.7,0
1,21,1635.2,1635.2,0
1,22,1547.7,1547.7,0
1,23,1464.9,1464.9,0
1,24,1386.5,1386.5,0
1,25,5066.8,5066.8,0
1,26,5633.3,5633.3,0
1,27,5518.8,5518.8,0
1,28,5265.2,5265.2,0
1,29,4992.7,4992.7,0
1,30,4727.6,4727.6,0
1,31,4475.1,4475.1,0
1,32,4235.7,4235.7,0
1,33,4009,4009,0
1,34,3794.5,3794.5,0
1,35,3591.4,3591.4,0
1,36,3399.2,3399.2,0
1,37,3217.3,3217.3,0
1,38,3045.2,3045.2,0
1,39,2882.2,2882.2,0
1,40,2728,2728,0
1,41,2582,2582,0
1,42,2443.8,2443.8,0
1,43,2313,2313,0
1,44,2189.2,2189.2,0
1,45,2072.1,2072.1,0
1,46,1961.2,1961.2,0
1,47,1856.2,1856.2,0
1,48,1756.9,1756.9,0
1,49,5417.3,5417.3,0
1,50,5965.1,5965.1,0
1,51,5832.8,5832.8,0
1,52,5562.4,5562.4,0
1,53,5274,5274,0
1,54,4993.9,4993.9,0
1,55,4727.1,4727.1,0
1,56,4474.2,4474.2,0
1,57,4234.8,4234.8,0
1,58,4008.2,4008.2,0
1,59,3793.7,3793.7,0
1,60,3590.7,3590.7,0
1,61,3398.5,3398.5,0
1,62,3216.7,3216.7,0
1,63,3044.5,3044.5,0
1,64,2881.6,2881.6,0
1,65,2727.4,2727.4,0
1,66,2581.4,2581.4,0
1,67,2443.3,2443.3,0
1,68,2312.5,2312.5,0
1,69,2188.8,2188.8,0
1,70,2071.6,2071.6,0
